confident,lead,flagship_line,alias_terms,code,score,runner_up,reasons,keys
true,hibiki,HIBIKI JAPANESE HARMONY,hibiki japanese harmony,12745,10,,sizes:1,hibiki|hibiki japanese
true,highclere,HIGHCLERE CASTLE GIN,highclere castle gin,21535,10,HIGHCLERE CASTLE BRRL AGED GIN (2),sizes:1,highclere|highclere castle
true,highland,HIGHLAND MIST,highland mist,19067,30,HIGHLAND PARK CASK STRENGTH 4 (10),sizes:3,highland|highland park|highland mist|highland blnded
true,highwing,HIGHWING HONEY RYE WHISKEY,highwing honey rye whiskey,101032,12,HIGHWING HONEY RYE WHISKY 10PK (2),sizes:2|flavors:1,highwing|highwing honey
true,himbrimi,HIMBRIMI ICELANDIC OLD TOM GIN,himbrimi icelandic old tom gin,32315,10,,sizes:1,himbrimi|himbrimi icelandic
true,hinotori,HINOTORI JAPANESE BLENDED WHISKY 5 YR,hinotori japanese blended whisky yr,101592,0,,sizes:1|aged,hinotori|hinotori japanese
true,hiram,HIRAM WALKER COFFEE 60,hiram walker coffee 60,6380,2,,sizes:1|flavors:1,hiram|hiram walker
true,hirsch,HIRSCH THE HORIZON,hirsch the horizon,22260,10,HIRSCH SB DBL OAK GOLD BARREL (2),sizes:1,hirsch|hirsch the|hirsch sb|hirsch sngl
true,hochstadter,HOCHSTADTER S SLOW LOW CAN,hochstadter slow low can,22868,10,,sizes:1,hochstadter
true,hochstadters,HOCHSTADTERS COFFEE RYE OF,hochstadters coffee rye of,35690,2,,sizes:1|flavors:1,hochstadters|hochstadters coffee
true,hog,HOG MASTER HERBAL LIQUEUER,hog master herbal liqueuer,31853,20,,sizes:2,hog|hog master
true,hoodoo,HOODOO ESPRESSO VODKA,hoodoo espresso vodka,33113,2,,sizes:1|flavors:1,hoodoo|hoodoo espresso
true,hotel,HOTEL TANGO SHMALLOW BBN,hotel tango shmallow bbn,25862,20,HOTEL TANGO VODKA (10),sizes:2,hotel|hotel tango|hotel ta
